Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,nodal_skin_eruptions,skin_rash,coma,passage_of_gases,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,nodal_skin_eruptions,high_fever,yellowing_of_eyes,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,irritability,loss_of_smell,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,swollen_legs,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,dischromic_patches,swollen_extremeties,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,dischromic_patches,skin_rash,cough,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,swelling_joints,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,itching,swollen_blood_vessels,receiving_unsterile_injections,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,itching,lethargy,yellow_urine,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,shivering,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,nodal_skin_eruptions,skin_rash,muscle_wasting,stomach_pain,,,,,,,,,,,,
Fungal infection,skin_rash,itching,pain_in_anal_region,visual_disturbances,,,,,,,,,,,,,
Fungal infection,dischromic_patches,nodal_skin_eruptions,itching,polyuria,movement_stiffness,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,skin_rash,spinning_movements,sweating,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,itching,skin_rash,neck_pain,high_fever,,,,,,,,,,,,
Fungal infection,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,itching,skin_rash,muscle_pain,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,skin_rash,weakness_of_one_body_side,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,dischromic_patches,loss_of_balance,,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,itching,passage_of_gases,continuous_sneezing,,,,,,,,,,,,
Fungal infection,dischromic_patches,nodal_skin_eruptions,prominent_veins_on_calf,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,dischromic_patches,drying_and_tingling_lips,slurred_speech,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,belly_pain,puffy_face_and_eyes,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,dischromic_patches,dark_urine,throat_irritation,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,itching,weight_gain,dehydration,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,hip_joint_pain,continuous_sneezing,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,drying_and_tingling_lips,loss_of_balance,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,swelling_of_stomach,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,phlegm,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,itching,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,nodal_skin_eruptions,blurred_and_distorted_vision,joint_pain,,,,,,,,,,,,
Fungal infection,dischromic_patches,itching,skin_rash,loss_of_smell,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,itching,dischromic_patches,distention_of_abdomen,bruising,,,,,,,,,,,,
Fungal infection,dischromic_patches,itching,skin_rash,weight_loss,muscle_wasting,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,skin_rash,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,nodal_skin_eruptions,abnormal_menstruation,acute_liver_failure,,,,,,,,,,,,
Fungal infection,itching,skin_rash,mood_swings,phlegm,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,nodal_skin_eruptions,bruising,,,,,,,,,,,,,
Fungal infection,dischromic_patches,itching,nodal_skin_eruptions,unsteadiness,,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic_patches,yellowing_of_eyes,spotting_urination,,,,,,,,,,,,
Fungal infection,dischromic_patches,nodal_skin_eruptions,skin_rash,belly_pain,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,dischromic_patches,muscle_wasting,neck_pain,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,spotting_urination,,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,swollen_extremeties,constipation,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,fast_heart_rate,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,nodal_skin_eruptions,prominent_veins_on_calf,,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,skin_rash,muscle_weakness,,,,,,,,,,,,,
Fungal infection,dischromic_patches,nodal_skin_eruptions,mild_fever,foul_smell_of_urine,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,chest_pain,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,itching,movement_stiffness,receiving_unsterile_injections,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,acute_liver_failure,,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,skin_rash,blister,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,dischromic_patches,dark_urine,,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,skin_rash,blood_in_sputum,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,dischromic_patches,red_spots_over_body,,,,,,,,,,,,,
Fungal infection,dischromic_patches,nodal_skin_eruptions,skin_rash,foul_smell_of_urine,cold_hands_and_feets,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,irritability,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,swollen_legs,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,family_history,visual_disturbances,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,itching,nodal_skin_eruptions,swollen_legs,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,skin_rash,dischromic_patches,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,skin_peeling,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,nodal_skin_eruptions,distention_of_abdomen,history_of_alcohol_consumption,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,dischromic_patches,passage_of_gases,extra_marital_contacts,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,itching,pain_in_anal_region,altered_sensorium,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,nodal_skin_eruptions,red_sore_around_nose,throat_irritation,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,swelled_lymph_nodes,mild_fever,,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,patches_in_throat,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,dischromic_patches,unsteadiness,yellowing_of_eyes,,,,,,,,,,,,,
Fungal infection,itching,nodal_skin_eruptions,skin_rash,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,dischromic_patches,skin_rash,,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,,,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,itching,skin_rash,passage_of_gases,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,headache,,,,,,,,,,,,,,
Fungal infection,dischromic_patches,skin_rash,nodal_skin_eruptions,sinus_pressure,blurred_and_distorted_vision,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,puffy_face_and_eyes,swelled_lymph_nodes,,,,,,,,,,,,
Fungal infection,itching,dischromic_patches,nodal_skin_eruptions,red_sore_around_nose,,,,,,,,,,,,,
Fungal infection,skin_rash,itching,dischromic_patches,unsteadiness,red_sore_around_nose,,,,,,,,,,,,
Fungal infection,dischromic_patches,itching,sweating,breathlessness,,,,,,,,,,,,,
Fungal infection,nodal_skin_eruptions,skin_rash,dischromic_patches,,,,,,,,,,,,,,
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,yellow_urine,spotting_urination,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,chills,dischromic_patches,burning_micturition,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,yellow_crust_ooze,abnormal_menstruation,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,,,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,swollen_legs,muscle_weakness,,,,,,,,,,,,,
Allergy,watering_from_eyes,chills,nodal_skin_eruptions,sunken_eyes,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,shivering,,,,,,,,,,,,,,
Allergy,watering_from_eyes,shivering,high_fever,acidity,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,shivering,receiving_blood_transfusion,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,watering_from_eyes,chills,receiving_unsterile_injections,extra_marital_contacts,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,headache,,,,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,shivering,hip_joint_pain,stomach_bleeding,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,sweating,,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,congestion,sunken_eyes,,,,,,,,,,,,,
Allergy,shivering,chills,continuous_sneezing,spotting_urination,,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
Allergy,shivering,chills,cough,,,,,,,,,,,,,,
Allergy,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,
Allergy,watering_from_eyes,chills,swelling_of_stomach,,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,malaise,excessive_hunger,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,watering_from_eyes,history_of_alcohol_consumption,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,chills,blackheads,hip_joint_pain,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,restlessness,,,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,continuous_sneezing,family_history,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,chills,,,,,,,,,,,,,,
Allergy,chills,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,shivering,chills,continuous_sneezing,swollen_legs,fluid_overload,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,mood_swings,,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,watering_from_eyes,stomach_pain,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,enlarged_thyroid,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,drying_and_tingling_lips,mild_fever,,,,,,,,,,,,,
Allergy,watering_from_eyes,shivering,chills,restlessness,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,chills,pain_behind_the_eyes,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,nodal_skin_eruptions,abdominal_pain,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,family_history,receiving_blood_transfusion,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,chills,toxic_look_(typhos),altered_sensorium,,,,,,,,,,,,
Allergy,watering_from_eyes,chills,malaise,,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
Allergy,shivering,chills,continuous_sneezing,toxic_look_(typhos),,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
Allergy,chills,shivering,dizziness,muscle_pain,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,shivering,ulcers_on_tongue,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,shivering,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,puffy_face_and_eyes,,,,,,,,,,,,,
Allergy,watering_from_eyes,chills,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,shivering,loss_of_balance,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,acute_liver_failure,scurring,,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,watering_from_eyes,yellowing_of_eyes,bladder_discomfort,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,bruising,swollen_legs,,,,,,,,,,,,
Allergy,chills,shivering,,,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,shivering,internal_itching,stomach_pain,,,,,,,,,,,,
Allergy,chills,shivering,continuous_sneezing,sinus_pressure,,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,continuous_sneezing,coma,,,,,,,,,,,,,
Allergy,shivering,chills,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,distention_of_abdomen,vomiting,,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,chills,irregular_sugar_level,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,yellowish_skin,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,shivering,depression,,,,,,,,,,,,,
Allergy,chills,shivering,continuous_sneezing,blister,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,shivering,,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,shivering,chills,,,,,,,,,,,,,,,
Allergy,shivering,chills,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,brittle_nails,indigestion,,,,,,,,,,,,,
Allergy,shivering,chills,,,,,,,,,,,,,,,
Allergy,watering_from_eyes,shivering,continuous_sneezing,throat_irritation,phlegm,,,,,,,,,,,,
Allergy,watering_from_eyes,shivering,chills,,,,,,,,,,,,,,
Allergy,watering_from_eyes,shivering,cough,blurred_and_distorted_vision,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,shivering,red_spots_over_body,increased_appetite,,,,,,,,,,,,
Allergy,chills,shivering,continuous_sneezing,swelling_joints,cramps,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,chills,shivering,continuous_sneezing,high_fever,irritability,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,chills,blood_in_sputum,stomach_bleeding,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,chills,,,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,chills,internal_itching,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,puffy_face_and_eyes,fluid_overload.1,,,,,,,,,,,,
Allergy,watering_from_eyes,shivering,chills,spotting_urination,mucoid_sputum,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,shivering,continuous_feel_of_urine,anxiety,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,watering_from_eyes,pain_during_bowel_motions,patches_in_throat,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,shivering,,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,shivering,,,,,,,,,,,,,,
Allergy,continuous_sneezing,chills,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,chills,pain_in_anal_region,puffy_face_and_eyes,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,shivering,dehydration,slurred_speech,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,nausea,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,watering_from_eyes,shivering,depression,silver_like_dusting,,,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,chills,loss_of_balance,,,,,,,,,,,,,
Allergy,chills,shivering,continuous_sneezing,lack_of_concentration,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,continuous_sneezing,stomach_bleeding,,,,,,,,,,,,,
Allergy,shivering,chills,continuous_sneezing,,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,restlessness,,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,phlegm,yellowish_skin,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,,
Allergy,continuous_sneezing,shivering,watering_from_eyes,malaise,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,enlarged_thyroid,burning_micturition,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,continuous_feel_of_urine,,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,watering_from_eyes,enlarged_thyroid,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,,
GERD,stomach_pain,chest_pain,ulcers_on_tongue,vomiting,,,,,,,,,,,,,
GERD,vomiting,cough,ulcers_on_tongue,chest_pain,acidity,increased_appetite,,,,,,,,,,,
GERD,acidity,vomiting,chest_pain,ulcers_on_tongue,,,,,,,,,,,,,
GERD,chest_pain,stomach_pain,ulcers_on_tongue,cough,vomiting,swollen_legs,,,,,,,,,,,
GERD,cough,acidity,ulcers_on_tongue,constipation,scurring,,,,,,,,,,,,
GERD,acidity,vomiting,ulcers_on_tongue,chest_pain,cough,internal_itching,diarrhoea,,,,,,,,,,
GERD,vomiting,chest_pain,cough,,,,,,,,,,,,,,
GERD,vomiting,stomach_pain,acidity,ulcers_on_tongue,stiff_neck,skin_rash,,,,,,,,,,,
GERD,chest_pain,acidity,vomiting,restlessness,,,,,,,,,,,,,
GERD,stomach_pain,cough,vomiting,,,,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,,,,,,,,,,,,,
GERD,cough,stomach_pain,vomiting,acidity,puffy_face_and_eyes,,,,,,,,,,,,
GERD,cough,acidity,vomiting,ulcers_on_tongue,spinning_movements,muscle_weakness,,,,,,,,,,,
GERD,acidity,chest_pain,stomach_pain,vomiting,puffy_face_and_eyes,,,,,,,,,,,,
GERD,vomiting,acidity,stomach_pain,ulcers_on_tongue,chest_pain,,,,,,,,,,,,
GERD,ulcers_on_tongue,acidity,cough,chest_pain,weakness_in_limbs,hip_joint_pain,,,,,,,,,,,
GERD,ulcers_on_tongue,vomiting,cough,chest_pain,stomach_pain,excessive_hunger,enlarged_thyroid,,,,,,,,,,
GERD,ulcers_on_tongue,vomiting,chest_pain,cold_hands_and_feets,nausea,,,,,,,,,,,,
GERD,chest_pain,ulcers_on_tongue,vomiting,stomach_pain,cough,muscle_pain,,,,,,,,,,,
GERD,chest_pain,acidity,vomiting,cough,sinus_pressure,,,,,,,,,,,,
GERD,stomach_pain,cough,vomiting,acidity,rusty_sputum,,,,,,,,,,,,
GERD,chest_pain,vomiting,ulcers_on_tongue,stomach_pain,acidity,extra_marital_contacts,pain_behind_the_eyes,,,,,,,,,,
GERD,chest_pain,vomiting,ulcers_on_tongue,cough,phlegm,,,,,,,,,,,,
GERD,acidity,chest_pain,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,,
GERD,ulcers_on_tongue,stomach_pain,cough,puffy_face_and_eyes,,,,,,,,,,,,,
GERD,acidity,vomiting,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,,
GERD,vomiting,ulcers_on_tongue,stomach_pain,acidity,,,,,,,,,,,,,
GERD,stomach_pain,cough,ulcers_on_tongue,acidity,,,,,,,,,,,,,
GERD,chest_pain,stomach_pain,ulcers_on_tongue,vomiting,acidity,painful_walking,pain_in_anal_region,,,,,,,,,,
GERD,ulcers_on_tongue,stomach_pain,acidity,chest_pain,cough,blister,,,,,,,,,,,
GERD,chest_pain,acidity,ulcers_on_tongue,vomiting,small_dents_in_nails,,,,,,,,,,,,
GERD,cough,ulcers_on_tongue,chest_pain,coma,,,,,,,,,,,,,
GERD,vomiting,cough,ulcers_on_tongue,stomach_pain,bruising,,,,,,,,,,,,
GERD,cough,acidity,chest_pain,stomach_pain,,,,,,,,,,,,,
GERD,chest_pain,cough,acidity,,,,,,,,,,,,,,
GERD,acidity,stomach_pain,cough,ulcers_on_tongue,vomiting,,,,,,,,,,,,
GERD,chest_pain,ulcers_on_tongue,stomach_pain,cough,acidity,,,,,,,,,,,,
GERD,stomach_pain,ulcers_on_tongue,acidity,cough,vomiting,muscle_weakness,,,,,,,,,,,
GERD,vomiting,cough,acidity,stomach_pain,ulcers_on_tongue,weakness_in_limbs,,,,,,,,,,,
GERD,chest_pain,ulcers_on_tongue,cough,vomiting,malaise,weight_loss,,,,,,,,,,,
GERD,chest_pain,acidity,vomiting,cough,,,,,,,,,,,,,
GERD,chest_pain,cough,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,,
GERD,vomiting,cough,ulcers_on_tongue,chest_pain,acidity,breathlessness,burning_micturition,,,,,,,,,,
GERD,vomiting,ulcers_on_tongue,acidity,chest_pain,breathlessness,,,,,,,,,,,,
GERD,ulcers_on_tongue,vomiting,stomach_pain,chest_pain,,,,,,,,,,,,,
GERD,cough,acidity,ulcers_on_tongue,stomach_pain,,,,,,,,,,,,,
GERD,stomach_pain,acidity,cough,chest_pain,vomiting,weakness_of_one_body_side,breathlessness,,,,,,,,,,
GERD,stomach_pain,cough,vomiting,ulcers_on_tongue,acidity,stiff_neck,,,,,,,,,,,
GERD,stomach_pain,vomiting,ulcers_on_tongue,dehydration,,,,,,,,,,,,,
GERD,stomach_pain,chest_pain,ulcers_on_tongue,vomiting,brittle_nails,cramps,,,,,,,,,,,
GERD,chest_pain,stomach_pain,acidity,cough,vomiting,,,,,,,,,,,,
GERD,stomach_pain,cough,ulcers_on_tongue,enlarged_thyroid,,,,,,,,,,,,,
GERD,ulcers_on_tongue,stomach_pain,chest_pain,cough,skin_rash,yellow_crust_ooze,,,,,,,,,,,
GERD,stomach_pain,acidity,cough,vomiting,foul_smell_of_urine,swelling_of_stomach,,,,,,,,,,,
GERD,stomach_pain,chest_pain,vomiting,cough,ulcers_on_tongue,,,,,,,,,,,,
GERD,cough,ulcers_on_tongue,stomach_pain,chest_pain,acidity,,,,,,,,,,,,
GERD,vomiting,cough,chest_pain,stomach_pain,fast_heart_rate,,,,,,,,,,,,
GERD,acidity,stomach_pain,cough,chest_pain,vomiting,neck_pain,redness_of_eyes,,,,,,,,,,
GERD,chest_pain,vomiting,ulcers_on_tongue,cough,,,,,,,,,,,,,
GERD,chest_pain,ulcers_on_tongue,vomiting,acidity,irritability,,,,,,,,,,,,
GERD,chest_pain,ulcers_on_tongue,acidity,,,,,,,,,,,,,,
