Disease,Description,Causes,Prevention,Recovery_Time,When_To_See_Doctor,Risk_Level
Malaria,A parasitic infection transmitted by Anopheles mosquito bites.,Plasmodium parasite via Anopheles mosquito bite,"Mosquito nets, repellents, antimalarial prophylaxis when traveling",2-4 weeks with treatment,Immediately - malaria can be life-threatening if untreated,High
Chicken pox,Chicken pox is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Dengue,A mosquito-borne viral infection causing severe flu-like illness.,Aedes mosquito bite carrying dengue virus (DENV 1-4),"Use mosquito repellent, wear protective clothing, eliminate standing water",1-2 weeks with proper care,"Immediately if bleeding, severe abdominal pain, or persistent vomiting",High
Typhoid,A bacterial infection caused by Salmonella typhi via contaminated food/water.,"Contaminated food or water, poor sanitation","Typhoid vaccine, clean water, proper sanitation, handwashing",3-4 weeks with antibiotics,Immediately - typhoid needs confirmed diagnosis and antibiotics,High
hepatitis A,hepatitis A is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
Hepatitis B,Hepatitis B is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",High
Hepatitis C,Hepatitis C is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",High
Hepatitis D,Hepatitis D is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",High
Hepatitis E,Hepatitis E is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",High
Alcoholic hepatitis,Alcoholic hepatitis is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",High
Tuberculosis,A serious bacterial infection primarily affecting the lungs.,Mycobacterium tuberculosis spread through air droplets,"BCG vaccine, avoid close contact with infected, good ventilation",6-9 months of antibiotic treatment,Immediately for diagnosis - TB requires confirmed testing and treatment,High
Common Cold,A viral infection of the upper respiratory tract.,"Rhinovirus, coronavirus, adenovirus - spread via droplets","Handwashing, avoid close contact with infected people, vitamin C",7-10 days,If symptoms persist beyond 10 days or high fever develops,Low
Pneumonia,"An infection inflaming air sacs in the lungs, potentially filling them with fluid.","Bacteria (Streptococcus), viruses, fungi - spread via droplets","Pneumococcal vaccine, flu vaccine, handwashing, no smoking",1-3 weeks for mild; severe cases need hospitalization,"Immediately if breathing difficulty, bluish lips, or high fever",High
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Heart attack,Blockage of blood supply to part of the heart muscle causing tissue damage.,"Coronary artery disease, blood clots, high cholesterol, hypertension","Healthy diet, no smoking, regular exercise, cholesterol/BP management",Varies; cardiac rehab typically 4-6 weeks,EMERGENCY - Call ambulance immediately,High
Varicose veins,Varicose veins is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Hypothyroidism,Hypothyroidism is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
Hyperthyroidism,Hyperthyroidism is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
Hypoglycemia,Hypoglycemia is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Medium
Osteoarthritis,Osteoarthritis is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Arthritis,Arthritis is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
(vertigo) Paroymsal Positional Vertigo,(vertigo) Paroymsal Positional Vertigo is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Acne,Acne is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Urinary tract infection,Urinary tract infection is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Psoriasis,Psoriasis is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
Impetigo,Impetigo is a medical condition requiring professional diagnosis.,"Multiple factors including infections, genetics, or lifestyle",Consult a healthcare provider for personalized prevention strategies,Varies by severity - consult a doctor,"If symptoms persist or worsen, consult a doctor promptly",Low
